Designator,Footprint,Quantity,Value,LCSC Part #
A1,XDCR_MS561101BA03-50,1,MS561101BA03-50,
AE1,XDCR_W3011,1,W3011,
"C10, C8",0402,2,1u,
"C11, C12, C13, C14, C15, C16, C6, C7, C9, CADXL_1, CBAR_1, CBAR_2, CFLASH_1, CIIM_1, CIIM_2, CIIM_3, CIIM_4",0402,17,100n,
"CADXL_2, CGPS_1, CXB_2",0805,3,1u,
CGPS_2,0603,1,100n,
"CPS_1, CPS_2, CPS_3",0805,3,10u,
CXB_1,0805,1,47p,
"CX_1, CX_2",0805,2,15p,
D1,0603,1,LED_B,
D2,0603,1,LED_R,
"DIV_RES_REG1A1, DIV_RES_REG2A1",0805,2,82k,
DIV_RES_REG1B1,0805,1,150k,
DIV_RES_REG2B1,0805,1,47k,
J1,MOLEX_503398-1892,1,503398-1892,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Connector_3,
J3,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J5,Molex_1x02_P2.54mm,1,Vin_Bat,
LS1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,PS1240P02BT,
Q1,SOT-23,1,BC847,
R1,0805,1,22k,
"R2, RFLASH_2, RX_1",0805,3,1k,
"R3, R4",0603,2,27,
"R6, R7, R_RST1",0805,3,10k,
"RI2C_1, RI2C_2, RI2C_3, RI2C_4",0603,4,1k,
RL_1,0805,1,39,
RL_2,0805,1,150,
RSPI_4,0603,1,10k,
"S1, S2",PTS810SJK250SMTRLFS,2,PTS810SJK250SMTR_LFS,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
U1,QFN50P450X450X115-25N,1,IIM-20670,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,
U4,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,1,ADXL375BCCZ-RL7,
U5,XCVR_MAX-M10M-00B,1,MAX-M10M-00B,
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U7,XBEEPRO,1,XBP9B-DMSTB002,
U8,SOT-223-6,1,TPS73733DCQ,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
