Designator,Mid X,Mid Y,Rotation,Layer
A1,202.125,-75.0,270.0,bottom
AE1,188.0,-62.0,90.0,top
C10,205.72,-88.6,180.0,bottom
C11,204.2,-91.0,180.0,bottom
C12,205.72,-89.6,180.0,bottom
C13,194.2,-86.5,0.0,bottom
C14,199.0,-92.62,270.0,bottom
C15,198.99,-79.95,90.0,top
C16,203.14,-80.82,0.0,top
C6,194.2,-87.7,0.0,bottom
C7,205.72,-85.6,180.0,bottom
C8,205.72,-87.6,180.0,bottom
C9,205.72,-86.6,180.0,bottom
CADXL_1,204.0,-64.6,90.0,bottom
CADXL_2,212.49,-65.01,180.0,bottom
CBAR_1,200.2,-71.8,90.0,bottom
CBAR_2,203.2,-77.6,0.0,bottom
CFLASH_1,209.65,-85.56,0.0,bottom
CGPS_1,183.22,-83.19,0.0,top
CGPS_2,183.03,-81.35,0.0,top
CIIM_1,188.3,-72.8,90.0,bottom
CIIM_2,189.96,-75.21,270.0,bottom
CIIM_3,197.4,-73.11,270.0,bottom
CIIM_4,190.05,-72.19,90.0,bottom
CPS_1,214.9,-93.0,270.0,top
CPS_2,214.0,-89.7,180.0,bottom
CPS_3,209.0,-90.1,180.0,top
CXB_1,155.16,-94.21,180.0,bottom
CXB_2,155.16,-92.07,180.0,bottom
CX_1,194.3,-83.8,90.0,bottom
CX_2,191.5,-82.7,180.0,top
D1,200.0125,-97.2,180.0,top
D2,203.7125,-97.2,180.0,top
DIV_RES_REG1A1,200.8,-98.6125,90.0,bottom
DIV_RES_REG1B1,204.4125,-98.7,0.0,bottom
DIV_RES_REG2A1,204.3875,-94.105,0.0,bottom
DIV_RES_REG2B1,204.3875,-96.095,0.0,bottom
J1,182.44,-93.24,180.0,top
J2,193.86,-98.7,90.0,top
J3,218.24,-77.6,90.0,top
J5,217.68,-85.7,270.0,top
LS1,200.470785,-68.4,180.0,top
Q1,199.2175,-64.41,180.0,bottom
R1,207.56,-72.54,90.0,bottom
R2,195.55,-65.3425,270.0,bottom
R3,209.03,-86.77,180.0,top
R4,209.025,-88.28,180.0,top
R6,180.5,-94.1875,270.0,bottom
R7,178.3,-94.1875,270.0,bottom
RFLASH_2,211.3375,-71.525,0.0,top
RI2C_1,200.62,-68.215,270.0,bottom
RI2C_2,204.555,-70.77,0.0,bottom
RI2C_3,193.66,-80.045,90.0,top
RI2C_4,191.44,-79.0,90.0,top
RL_1,200.0625,-99.1,180.0,top
RL_2,203.7125,-99.1,180.0,top
RSPI_4,199.425,-77.91,0.0,top
RX_1,188.7,-83.4,270.0,top
R_RST1,192.1,-89.3,0.0,top
S1,217.025,-70.325,180.0,top
S2,193.225,-93.025,0.0,top
U1,193.53,-73.545,90.0,bottom
U3,200.07,-86.18,0.0,top
U4,207.5,-66.1,270.0,bottom
U5,178.95,-74.0375,90.0,top
U6,209.37,-79.73,180.0,top
U7,163.25,-85.4,90.0,top
U8,210.0,-95.8375,90.0,top
Y1,191.5,-86.0,180.0,top
